4_1.pngis:t@2+-2*t+2,+-t@3+2*t@2+-2*t]
9_30.pngis:4*t@6+-11*t@5+15*t@4+-12*t@3+7*t@2+-3*t+1,+-4*t@6+11*t@5+-15*t@4+12*t@3+-7*t@2+3*t+-1]
9_31.pngis:t@6+-3*t@5+8*t@4+-13*t@3+15*t@2+-11*t+4,t@8+-3*t@7+8*t@6+-13*t@5+15*t@4+-11*t@3+4*t@2]
9_32.pngis:5*t@6+-13*t@5+17*t@4+-13*t@3+7*t@2+-3*t+1,5*t@6+-13*t@5+17*t@4+-13*t@3+7*t@2+-3*t+1]
9_33.pngis:t@6+-3*t@5+7*t@4+-13*t@3+18*t@2+-14*t+5,t@8+-3*t@7+7*t@6+-13*t@5+18*t@4+-14*t@3+5*t@2]
9_34.pngis:2*t@6+-6*t@5+12*t@4+-18*t@3+18*t@2+-10*t+3,2*t@7+-6*t@6+12*t@5+-18*t@4+18*t@3+-10*t@2+3*t]
9_35.pngis:7*t@2+-13*t+7,7*t@5+-13*t@4+7*t@3]
9_36.pngis:t@6+-3*t@5+6*t@4+-8*t@3+9*t@2+-7*t+3,+-t@8+3*t@7+-6*t@6+8*t@5+-9*t@4+7*t@3+-3*t@2]
9_37.pngis:2*t@4+-7*t@3+14*t@2+-15*t+7,2*t@7+-7*t@6+14*t@5+-15*t@4+7*t@3]
9_38.pngis:5*t@4+-14*t@3+19*t@2+-14*t+5,5*t@6+-14*t@5+19*t@4+-14*t@3+5*t@2]
9_39.pngis:7*t@4+-17*t@3+18*t@2+-10*t+3,7*t@5+-17*t@4+18*t@3+-10*t@2+3*t]
9_40.pngis:3*t@6+-9*t@5+16*t@4+-19*t@3+16*t@2+-9*t+3,3*t@7+-9*t@6+16*t@5+-19*t@4+16*t@3+-9*t@2+3*t]
9_41.pngis:7*t@4+-15*t@3+15*t@2+-9*t+3,+-7*t@5+15*t@4+-15*t@3+9*t@2+-3*t]
9_42.pngis:t@6+-t@5+-2*t@4+6*t@3+-4*t@2+-t+2,t@8+-t@7+-2*t@6+6*t@5+-4*t@4+-t@3+2*t@2]
9_43.pngis:2*t@6+-3*t@5+2*t@4+-t@3+2*t@2+-2*t+1,+-2*t@7+3*t@6+-2*t@5+t@4+-2*t@3+2*t@2+-t]
9_45.pngis:3*t@5+-8*t@4+10*t@3+-5*t@2+-t+2,+-3*t@6+8*t@5+-10*t@4+5*t@3+t@2+-2*t]
9_47.pngis:t@6+-2*t@5+3*t@4+-5*t@3+7*t@2+-6*t+3,t@8+-2*t@7+3*t@6+-5*t@5+7*t@4+-6*t@3+3*t@2]
9_48.pngis:2*t@6+-5*t@5+8*t@4+-6*t@3+2*t@2+-2*t+2,2*t@7+-5*t@6+8*t@5+-6*t@4+2*t@3+-2*t@2+2*t]
10_1.pngis:4*t@2+-8*t+5,+-4*t@6+8*t@5+-5*t@4]
10_2.pngis:2*t@8+-3*t@7+3*t@6+-3*t@5+3*t@4+-3*t@3+3*t@2+-2*t+1,2*t@8+-3*t@7+3*t@6+-3*t@5+3*t@4+-3*t@3+3*t@2+-2*t+1]
10_3.pngis:7*t@2+-12*t+6,7*t@5+-12*t@4+6*t@3]
10_9.pngis:t@8+-2*t@7+4*t@6+-6*t@5+7*t@4+-7*t@3+6*t@2+-4*t+2,+-t@9+2*t@8+-4*t@7+6*t@6+-7*t@5+7*t@4+-6*t@3+4*t@2+-2*t]
10_11.pngis:4*t@4+-10*t@3+13*t@2+-11*t+5,4*t@7+-10*t@6+13*t@5+-11*t@4+5*t@3]
10_13.pngis:2*t@4+-8*t@3+17*t@2+-18*t+8,+-2*t@8+8*t@7+-17*t@6+18*t@5+-8*t@4]
10_14.pngis:2*t@6+-6*t@5+11*t@4+-13*t@3+12*t@2+-9*t+4,2*t@8+-6*t@7+11*t@6+-13*t@5+12*t@4+-9*t@3+4*t@2]
10_15.pngis:2*t@6+-5*t@5+8*t@4+-9*t@3+9*t@2+-7*t+3,2*t@8+-5*t@7+8*t@6+-9*t@5+9*t@4+-7*t@3+3*t@2]
10_16.pngis:4*t@4+-10*t@3+14*t@2+-13*t+6,+-4*t@7+10*t@6+-14*t@5+13*t@4+-6*t@3]
10_17.pngis:t@8+-2*t@7+4*t@6+-6*t@5+8*t@4+-8*t@3+6*t@2+-4*t+2,+-t@9+2*t@8+-4*t@7+6*t@6+-8*t@5+8*t@4+-6*t@3+4*t@2+-2*t]
10_18.pngis:4*t@4+-12*t@3+18*t@2+-15*t+6,4*t@7+-12*t@6+18*t@5+-15*t@4+6*t@3]
10_20.pngis:3*t@4+-8*t@3+11*t@2+-9*t+4,3*t@7+-8*t@6+11*t@5+-9*t@4+4*t@3]
