4_1,"[2, -2, 1, 0, 0, 0, 0, 0, 0]"
5_1,"[1, -1, 1, -1, 1, 0, 0, 0, 0]"
5_2,"[2, -3, 2, 0, 0, 0, 0, 0, 0]"
6_1,"[2, -4, 3, 0, 0, 0, 0, 0, 0]"
6_2,"[2, -3, 3, -2, 1, 0, 0, 0, 0]"
6_3,"[2, -4, 4, -2, 1, 0, 0, 0, 0]"
7_1,"[1, -1, 1, -1, 1, -1, 1, 0, 0]"
7_2,"[3, -5, 3, 0, 0, 0, 0, 0, 0]"
7_3,"[2, -3, 3, -3, 2, 0, 0, 0, 0]"
7_4,"[4, -7, 4, 0, 0, 0, 0, 0, 0]"
7_5,"[2, -4, 5, -4, 2, 0, 0, 0, 0]"
7_6,"[1, -3, 6, -6, 3, 0, 0, 0, 0]"
7_7,"[1, -3, 6, -7, 4, 0, 0, 0, 0]"
8_1,"[3, -6, 4, 0, 0, 0, 0, 0, 0]"
8_2,"[2, -3, 3, -3, 3, -2, 1, 0, 0]"
8_5,"[2, -4, 5, -4, 3, -2, 1, 0, 0]"
8_6,"[3, -6, 7, -5, 2, 0, 0, 0, 0]"
8_7,"[2, -4, 5, -5, 4, -2, 1, 0, 0]"
8_8,"[3, -7, 8, -5, 2, 0, 0, 0, 0]"
8_11,"[2, -5, 8, -8, 4, 0, 0, 0, 0]"
8_13,"[4, -9, 9, -5, 2, 0, 0, 0, 0]"
8_14,"[4, -9, 10, -6, 2, 0, 0, 0, 0]"
8_15,"[3, -8, 11, -8, 3, 0, 0, 0, 0]"
8_16,"[1, -2, 4, -7, 10, -8, 3, 0, 0]"
8_17,"[1, -2, 4, -8, 11, -8, 3, 0, 0]"
8_18,"[1, -2, 4, -8, 14, -12, 4, 0, 0]"
8_20,"[3, -6, 4, 1, -2, 1, 0, 0, 0]"
8_21,"[2, -4, 4, -2, 1, -1, 1, 0, 0]"
9_1,"[1, -1, 1, -1, 1, -1, 1, -1, 1]"
9_2,"[4, -7, 4, 0, 0, 0, 0, 0, 0]"
9_3,"[2, -3, 3, -3, 3, -3, 2, 0, 0]"
9_6,"[2, -4, 5, -5, 5, -4, 2, 0, 0]"
9_9,"[2, -4, 6, -7, 6, -4, 2, 0, 0]"
9_11,"[3, -6, 7, -7, 6, -3, 1, 0, 0]"
9_12,"[2, -6, 11, -11, 5, 0, 0, 0, 0]"
9_13,"[4, -9, 11, -9, 4, 0, 0, 0, 0]"
9_14,"[6, -12, 11, -6, 2, 0, 0, 0, 0]"
9_18,"[4, -10, 13, -10, 4, 0, 0, 0, 0]"
9_19,"[6, -13, 13, -7, 2, 0, 0, 0, 0]"
9_21,"[6, -14, 14, -7, 2, 0, 0, 0, 0]"
9_22,"[4, -9, 11, -9, 6, -3, 1, 0, 0]"
9_23,"[4, -11, 15, -11, 4, 0, 0, 0, 0]"
9_24,"[2, -5, 9, -11, 10, -6, 2, 0, 0]"
9_25,"[5, -13, 16, -10, 3, 0, 0, 0, 0]"
9_28,"[2, -6, 11, -13, 11, -6, 2, 0, 0]"
9_30,"[1, -3, 7, -12, 15, -11, 4, 0, 0]"
9_31,"[4, -11, 15, -13, 8, -3, 1, 0, 0]"
9_32,"[1, -3, 7, -13, 17, -13, 5, 0, 0]"
9_33,"[5, -14, 18, -13, 7, -3, 1, 0, 0]"
9_34,"[3, -10, 18, -18, 12, -6, 2, 0, 0]"
9_35,"[7, -13, 7, 0, 0, 0, 0, 0, 0]"
9_36,"[3, -7, 9, -8, 6, -3, 1, 0, 0]"
9_37,"[7, -15, 14, -7, 2, 0, 0, 0, 0]"
9_38,"[5, -14, 19, -14, 5, 0, 0, 0, 0]"
9_39,"[3, -10, 18, -17, 7, 0, 0, 0, 0]"
9_40,"[3, -9, 16, -19, 16, -9, 3, 0, 0]"
9_41,"[3, -9, 15, -15, 7, 0, 0, 0, 0]"
9_42,"[2, -1, -4, 6, -2, -1, 1, 0, 0]"
9_43,"[1, -2, 2, -1, 2, -3, 2, 0, 0]"
9_45,"[2, -1, -5, 10, -8, 3, 0, 0, 0]"
9_47,"[3, -6, 7, -5, 3, -2, 1, 0, 0]"
9_48,"[2, -2, 2, -6, 8, -5, 2, 0, 0]"
10_1,"[5, -8, 4, 0, 0, 0, 0, 0, 0]"
10_2,"[1, -2, 3, -3, 3, -3, 3, -3, 2]"
10_3,"[6, -12, 7, 0, 0, 0, 0, 0, 0]"
10_9,"[2, -4, 6, -7, 7, -6, 4, -2, 1]"
10_11,"[5, -11, 13, -10, 4, 0, 0, 0, 0]"
10_13,"[8, -18, 17, -8, 2, 0, 0, 0, 0]"
10_14,"[4, -9, 12, -13, 11, -6, 2, 0, 0]"
10_15,"[3, -7, 9, -9, 8, -5, 2, 0, 0]"
10_16,"[6, -13, 14, -10, 4, 0, 0, 0, 0]"
10_17,"[2, -4, 6, -8, 8, -6, 4, -2, 1]"
10_18,"[6, -15, 18, -12, 4, 0, 0, 0, 0]"
10_20,"[4, -9, 11, -8, 3, 0, 0, 0, 0]"
10_23,"[2, -5, 10, -14, 14, -10, 4, 0, 0]"
10_24,"[4, -12, 18, -15, 6, 0, 0, 0, 0]"
10_28,"[6, -15, 17, -11, 4, 0, 0, 0, 0]"
10_29,"[1, -4, 10, -15, 16, -12, 5, 0, 0]"
10_30,"[8, -20, 22, -13, 4, 0, 0, 0, 0]"
10_31,"[6, -16, 19, -12, 4, 0, 0, 0, 0]"
10_34,"[3, -8, 12, -10, 4, 0, 0, 0, 0]"
10_35,"[2, -8, 16, -16, 7, 0, 0, 0, 0]"
10_36,"[3, -10, 17, -15, 6, 0, 0, 0, 0]"
10_37,"[5, -14, 18, -12, 4, 0, 0, 0, 0]"
10_40,"[2, -6, 13, -19, 19, -12, 4, 0, 0]"
10_41,"[6, -15, 19, -16, 10, -4, 1, 0, 0]"
10_42,"[3, -9, 18, -23, 18, -8, 2, 0, 0]"
10_43,"[5, -14, 20, -18, 11, -4, 1, 0, 0]"
10_44,"[1, -4, 11, -19, 22, -16, 6, 0, 0]"
10_45,"[8, -20, 25, -20, 11, -4, 1, 0, 0]"
10_46,"[1, -2, 3, -4, 5, -5, 5, -4, 2]"
